Namespace(batch_size=128, concat=True, dataset='politifact', device='cpu', dropout_ratio=0.0, epochs=80, feature='spacy', lr=0.001, model='gcn', multi_gpu=False, nhid=128, num_classes=2, num_features=300, seed=777, weight_decay=0.01)
loss_train: 0.1277, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5074, acc_val: 0.8065, recall_val: 0.7778, auc_val: 0.8632
loss_train: 0.1178, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5047, acc_val: 0.8065, recall_val: 0.7778, auc_val: 0.8718
loss_train: 0.1027, acc_train: 0.9839, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5189, acc_val: 0.8065, recall_val: 0.7778, auc_val: 0.8803
loss_train: 0.0825, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5561, acc_val: 0.8065, recall_val: 0.7222, auc_val: 0.8974
loss_train: 0.0727, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5787, acc_val: 0.7742, recall_val: 0.6667, auc_val: 0.8974
loss_train: 0.0658, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5602, acc_val: 0.8065, recall_val: 0.7222, auc_val: 0.8974
loss_train: 0.0536, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5305, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8974
loss_train: 0.0443, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5163, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8974
loss_train: 0.0404, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5173, acc_val: 0.8710, recall_val: 0.8333, auc_val: 0.8974
loss_train: 0.0360, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5299, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8974
loss_train: 0.0298, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5569, acc_val: 0.8387, recall_val: 0.7778, auc_val: 0.8974
loss_train: 0.0251, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.5888, acc_val: 0.8065, recall_val: 0.7222, auc_val: 0.8974
loss_train: 0.0231, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.6081, acc_val: 0.8065, recall_val: 0.7222, auc_val: 0.8974
loss_train: 0.0217, acc_train: 1.0000, recall_train: 1.0000, auc_train: 1.0000, loss_val: 0.6053, acc_val: 0.8065, recall_val: 0.7222, auc_val: 0.8932
